id,label,statement,subject,speaker,job,state,party,barely_true,false,half_true,mostly_true,pants_fire,context
12021.json,0.0,saysmichael bennet wants to close guantanamo bay prisonand bring terrorists right here to colorado,"congress,terrorism",jon-keyser,,Colorado,republican,0.0,1.0,0.0,0.0,1.0,a candidate forum 
2932.json,1.0,oregonians have an amazing nocost way to fight abortion with free political donations,"abortion,campaign-finance",oregon-right-life-pac,politican action committee,Oregon,none,0.0,0.0,0.0,0.0,0.0,a newspaper ad
2257.json,0.0,mr caprio is a career politician who has never worked in the private sector,candidates-biography,john-robitaille,,Rhode Island,republican,0.0,1.0,2.0,0.0,0.0,a campaign news release
445.json,1.0,hillary clinton has taken over 800000 from lobbyists,ethics,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an online ad.
6588.json,0.0,barack obama has never even worked in business,candidates-biography,rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,a speech at the Republican National Convention in Tampa
3782.json,0.0,says gov rick perry has been begging for the federal government to send the coast guard to patrol two lakes on the usmexico border,"crime,immigration",louie-gohmert,U.S. House member,Texas,republican,2.0,6.0,1.0,0.0,1.0,a radio interview.
9230.json,0.0,in 2005 dan branch tried to expand thirdtrimester abortions in texas,"abortion,corrections-and-updates",texas-right-life,,Texas,none,0.0,2.0,2.0,0.0,0.0,an email blast
3054.json,1.0,whether you like to admit it or not half our general revenue goes to education,"education,state-budget",mike-haridopolos,Florida Senate President,Florida,republican,0.0,3.0,1.0,1.0,0.0,comments to reporters.
2367.json,0.0,im the only one whos fought against developers draining the everglades,"environment,message-machine",kendrick-meek,,Florida,democrat,2.0,6.0,1.0,4.0,1.0,a television ad
11828.json,0.0,we have more illegal immigrants here than we did five years ago,immigration,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,"an interview on NBC's ""Meet the Press"""
9561.json,0.0,the us patent and trademark office received zero complaints about the washington redskins name,sports,blog-posting,,,none,7.0,19.0,3.0,5.0,44.0,blog posts
9554.json,1.0,there are already more american jobs in the solar industry than in coal mining,"climate-change,energy,environment,jobs",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a newspaper commentary
10142.json,0.0,says thomas eric duncan came into the united states with an elevated temperature,"ebola,health-care,public-health,transportation",darrell-issa,U.S. House of Representatives,California,republican,0.0,3.0,0.0,0.0,0.0,"comments on CNN's ""State of the Union"""
2537.json,1.0,webster sponsored a bill to create a form of marriage that would trap women in abusive relationships,"marriage,message-machine,women",alan-grayson,U.S. House of Representatives,Florida,democrat,6.0,5.0,4.0,11.0,1.0,a TV ad.
4681.json,1.0,says judges get better benefits at a lower cost than everybody else in the state,pensions,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a news conference
5524.json,1.0,there are a lot of casinos across the country that have gone bankrupt,"bankruptcy,economy,gambling,state-budget,state-finances,states",robert-jacquard,State representative,Rhode Island,democrat,0.0,0.0,0.0,0.0,0.0,a speech
5044.json,1.0,small businesses create 70 percent of the jobs in america,"economy,jobs,small-business",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,a news release.
6969.json,0.0,there are more oil rigs in operation in the united states than the rest of the world combined,"corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure",david-cicilline,mayor of Providence,Rhode Island,democrat,7.0,4.0,5.0,4.0,1.0,a debate
8370.json,0.0,the obama administration shut down the amber alert program because of the government shutdown,"children,crime,federal-budget",tweets,,,none,2.0,3.0,1.0,2.0,3.0,messages on Twitter
1053.json,1.0,in texas the no 1 name for new male babies many of whom will vote one day is jose,"elections,immigration,pundits",mike-murphy,political strategist,,republican,0.0,0.0,0.0,0.0,0.0,a column in Time magazine.
1059.json,0.0,under the cash for clunkers program all weve got to do is  go to a local junkyard all youve got to do is tow it to your house and youre going to get 4500,"pundits,transportation",sean-hannity,Radio/TV host,,none,3.0,5.0,3.0,2.0,1.0,a Fox News interview
11886.json,0.0,not one republican has the guts to recognize that climate change is real,"cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety",bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,a Democratic debate in New Hampshire
3003.json,0.0,in the last five years 28000 people have been killed along the usmexico border,"crime,homeland-security,immigration",lamar-smith,Congressman,Texas,republican,2.0,5.0,1.0,3.0,0.0,a news release
5689.json,0.0,says obama health reform law denies millions access to affordable insurance,"health-care,workers",eric-hovde,,,republican,2.0,3.0,3.0,0.0,0.0,a blog post
2347.json,0.0,close to 30 of our federal prison population consists of illegal immigrants,immigration,daniel-mielke,Farmer,Wisconsin,republican,0.0,1.0,0.0,0.0,0.0,a statement on campaign web site
7476.json,0.0,says rick scott called education not a core function of the state,"education,state-budget",florida-democratic-party,,Florida,democrat,5.0,4.0,4.0,5.0,3.0,a press release
11636.json,0.0,the family research council according to some government agencies is a terrorist group,terrorism,ben-carson,,,republican,7.0,12.0,3.0,2.0,4.0,an interview on CNN
2550.json,1.0,says rep jim weidner proposed a bill taking away health care for 80000 of oregons children,"health-care,taxes",blue-oregon,liberal blog,Oregon,democrat,0.0,0.0,0.0,0.0,0.0,a website posting
7123.json,1.0,says that in the 1985 election former gov tom kean had the largest winning margin for a gubernatorial candidate in jersey history,"elections,states",raymond-bateman,,,republican,0.0,1.0,0.0,0.0,0.0,a column
6289.json,0.0,obamacare is the biggest tax increase in american history,"corrections-and-updates,federal-budget,health-care,taxes",mark-neumann,Developer and homebuilder,Wisconsin,republican,2.0,4.0,1.0,2.0,1.0,an interview
772.json,1.0,you  said that barack obama was not ready to be commander in chief,candidates-biography,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"St. Louis, Mo."
10764.json,1.0,im the only member of the house of representatives who raised most of his campaign funds in the last election from small contributions of less than 200,campaign-finance,alan-grayson,U.S. House of Representatives,Florida,democrat,6.0,5.0,4.0,11.0,1.0,an interview with Democracy Now
7261.json,1.0,unlike the gridlock in washington more than 80 percent of the bills we passed during this general assembly had bipartisan support,"bipartisanship,job-accomplishments",tom-niehaus,President of the Ohio Senate,Ohio,republican,0.0,0.0,0.0,0.0,1.0,an online video
6780.json,0.0,josh mandel is lying about his own record the rating of ohios investment fund has not improved,"job-accomplishments,message-machine-2012,state-finances",sherrod-brown,U.S. Senator,Ohio,democrat,3.0,4.0,5.0,8.0,1.0,a campaign commercial
2258.json,1.0,us taxpayers are being forced to fund feisal abdul raufs trip to the middle east,"foreign-policy,religion,terrorism",ileana-ros-lehtinen,U.S. Representative,Florida,republican,0.0,0.0,1.0,0.0,0.0,a press release.
1419.json,1.0,democratic presidents have been considerably more effective at creating privatesector jobs,"economy,history,workers",carolyn-maloney,U.S. Representative,New York,democrat,0.0,0.0,0.0,0.0,0.0,a floor speech in the House
681.json,1.0,joe biden voted against the first gulf war he opposed the surge he wanted to partition iraq,iraq,lindsey-graham,U.S. senator,South Carolina,republican,2.0,2.0,4.0,2.0,0.0,an interview on ABC News' <i> This Week </i>
4811.json,1.0,the american healthcare system burns 18 percent of our national gdp nobody else is close,"federal-budget,health-care",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a speech
4317.json,0.0,providences port is 200 miles closer to europe than any other eastern port,"economy,infrastructure,trade,transportation",james-bennett,"director, Department of Economic Development, Providence, R.I.",Rhode Island,newsmaker,0.0,1.0,0.0,0.0,1.0,a news conference
5627.json,1.0,says you need a photo id to purchase sudafed in texas,"elections,legal-issues",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a Fox News interview.
975.json,1.0,obamas budget plan would take national debt up to about 80 percent of gross national product  historically its been about 40 percent,federal-budget,judd-gregg,U.S. Senator,,republican,0.0,0.0,0.0,1.0,0.0,a Fox News interview
11772.json,0.0,we now have driven health care costs down to the lowest theyve been in 50 years,health-care,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,comments during the South Carolina Democratic presidential debate
3197.json,0.0,twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional,"health-care,supreme-court",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an interview on Fox
968.json,1.0,warren buffett still does support me,economy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a television interview
5922.json,1.0,says george lemieux was one of two republicans who voted for president barack obamas jobs bill,"candidates-biography,jobs",connie-mack,U.S. representative from Fort Myers,Florida,republican,3.0,3.0,1.0,3.0,1.0,a Web ad
7108.json,0.0,a precinct in the allen westpatrick murphy recount has 7 registered voters in guatemalan community and the tally showed 900 voted,elections,facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a post on Facebook
8428.json,0.0,local law enforcement    will have access to the obamacare data hubs treasure trove of personal info,"criminal-justice,health-care,legal-issues,privacy",evan-feinberg,"President, Generation Opportunity","Washington, D.C.",activist,0.0,1.0,0.0,0.0,0.0,a Providence Journal commentary
1391.json,1.0,during his tenure as mayor he saw houstons crime rates drop to the lowest levels in more than 25 years,crime,bill-white,Former mayor of Houston,Texas,democrat,2.0,3.0,5.0,7.0,3.0,the biography on his campaign Web site
8489.json,0.0,terry mcauliffe wants to raise your taxes 1700 to pay for his infinite promises,"education,state-budget,taxes",ken-cuccinelli,Attorney General,Virginia,republican,1.0,10.0,3.0,2.0,1.0,a debate.
4649.json,1.0,nearly half of all pregnancies in the us are unintended,"abortion,census,children,families,health-care,public-health,women",edith-ajello,Rhode Island State Representative,Rhode Island,democrat,0.0,1.0,0.0,0.0,0.0,commentary piece
2032.json,0.0,the top 1 percent pay over half of the entire revenue for this country,taxes,trent-franks,U.S. Representative,Arizona,republican,2.0,1.0,0.0,0.0,0.0,an interview on MSNBC's 'The Dylan Ratigan Show'
3195.json,0.0,says he never said he would keep education funding the same,"education,state-budget",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,talking about his budget proposal.
12497.json,1.0,since 1978 college tuition nationwide has gone up something like four times the rate of inflation,education,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a radio interview
689.json,0.0,palin supported rightwing extremist pat buchanan for president in 2000,israel,moveon,,,democrat,2.0,4.0,3.0,0.0,0.0,an e-mail.
5429.json,0.0,while fighting a move to toughen penalties for workplace gender discrimination state sen glenn grothman said he didnt believe women belonged in the workplace but belonged at home cooking and cleaning and having babies,"jobs,legal-issues,women",christine-sinicki,State Representative 20th District,Wisconsin,democrat,0.0,1.0,0.0,0.0,0.0,a legislative floor speech
5852.json,0.0,if you put the 47 billion in revenue raised over 10 years by the buffett rule into infrastructure you could create 611000 infrastructure jobs,"economy,federal-budget,jobs,transportation",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a speech on the floor of the U.S. Senate
599.json,1.0,i have repeatedly said that many of the predatory loans that were made in the mortgage system did target africanamerican and latino communities,economy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a town hall in St. Petersburg, Fla."
610.json,0.0,on using the strategic petroleum reserve,energy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,
8004.json,0.0,upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound,"abortion,children,families,health-care,women",rachel-campos-duffy,,,none,0.0,1.0,0.0,0.0,0.0,an interview
12356.json,0.0,jason kander supports obamas plan to bring the remaining suspected terrorists to us soil,terrorism,roy-blunt,Senator,Missouri,republican,2.0,1.0,0.0,1.0,1.0,a petition against President Obama’s plan to close Guantanamo Bay
2076.json,1.0,have the suburbs been inundated with former residents of atlanta housing projects absolutely not,housing,barney-simms,Atlanta Housing Authority chief external affairs officer,Georgia,none,0.0,0.0,0.0,0.0,0.0,a letter
5276.json,1.0,in july 1996 mitt romney helped locate the missing teenage daughter of a partner at bain capital,candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail and blog and Facebook posts
2824.json,1.0,nobody has played clips over and over of president obama saying if they bring a knife to the fight well bring a gun,"candidates-biography,pundits",joyce-kaufman,WFTL 850 AM talk show host,Florida,talk-show-host,0.0,0.0,0.0,0.0,0.0,a radio show
3281.json,1.0,if wisconsins governor cuts perquisites as much as he plans to do it would still leave workers better off than their private sector counterparts,"labor,pundits,state-budget,abc-news-week",george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"ABC's ""This Week"""
9596.json,0.0,74 percent of republicans support the affordable care act,"health-care,polls",donna-edwards,U.S. House of Representatives,Maryland,democrat,0.0,1.0,0.0,0.0,0.0,"a roundtable discussion on CNN's ""State of the Union"""
8794.json,0.0,says alex sink failed florida homeowners by using predatory lending practices,corporations,republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,a YouTube video
13223.json,0.0,hillary clinton supports unlimited abortion on demand up until the moment of birth including partialbirth abortion with taxpayer funding,abortion,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,responding to an audience member's question at the Texas Tribune Festival.
10611.json,1.0,under legislation that has cleared the georgia house some children who are legal refugees could obtain state scholarships to attend private schools,"autism,children,disability,education,families,immigration,state-budget,state-finances",associated-press,journalists,,none,0.0,0.0,0.0,0.0,0.0,article
4655.json,1.0,says 24 million people in this country cant find a fulltime job 50 million cant see a doctor when theyre sick 47 million people need government help to feed themselves and 15 million families owe more than the value of their home,economy,alan-grayson,U.S. House of Representatives,Florida,democrat,6.0,5.0,4.0,11.0,1.0,"appearance on Bill Maher show on Oct. 7, 2011"
4181.json,1.0,president reagan did it raised the debt ceiling 18 times george w bush did it seven times,"bipartisanship,federal-budget",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a televised address
9031.json,0.0,most young americans right now theyre not covered by health insurance,health-care,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a Funnyordie.com ""Between Two Ferns"" interview with Zach Galifianakis"
7765.json,1.0,over the last 10 years texas created 33 percent of the net new jobs nationwide,"economy,job-accomplishments,jobs",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,an advertisement
35.json,1.0,you know we cant just pull out now the truth of the matter is if we started today it would take one year one year to get 160000 troops physically out of iraq logistically,iraq,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,"CNN/YouTube debate in Charleston, S.C."
1693.json,0.0,cell phone numbers go public this month,consumer-safety,ken-legler,State House representative,Texas,republican,0.0,1.0,0.0,0.0,0.0,Facebook and Twitter posts
6597.json,0.0,clackamas county commissioners approved a renegotiated agreement to lower the countys contribution to trimets portlandmilwaukie light rail project to 199 million from 25 million,"county-budget,county-government,debt,transportation",clackamas-county-commission,,,none,0.0,1.0,0.0,0.0,0.0,a press release
6449.json,0.0,the obama administration is unwinding our nations welfaretowork requirements,welfare,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,an op-ed.
11510.json,1.0,electric car sales in georgia have dropped dramatically since a 5000 tax credit was eliminated and a 200 annual registration fee was imposed july 1,"state-budget,taxes,transportation",don-francis,coordinator of the Clean Cities-Georgia Coalition,,none,0.0,0.0,0.0,0.0,0.0,an interview with Watchdog.org
9853.json,0.0,if black america were a country itd be the 15th wealthiest nation in the world,"corrections-and-updates,economy,poverty",larry-elder,Radio talk show host,,talk-show-host,1.0,3.0,0.0,0.0,0.0,comments on CNN
979.json,1.0,2008 was the deadliest year of the war in afghanistan for american forces,"afghanistan,military",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech at the White House. 
6014.json,1.0,says amanda fritz manages less than 5 percent of city operations,city-government,mary-nolan,Represents Southwest Portland in Oregon House,Oregon,democrat,0.0,0.0,3.0,0.0,0.0,a debate.
5631.json,0.0,says congressman bill pascrell voted to remove the public option from the affordable health care act,health-care,steve-rothman,,,democrat,1.0,2.0,0.0,1.0,1.0,an interview on NJToday
10691.json,1.0,lawmakers were paid for their offseason efforts to for the first time take the lead in drawing borders for two wouldbe cities,state-finances,mary-margaret-oliver,State Representative,Georgia,democrat,0.0,0.0,1.0,0.0,0.0,a House floor debate
9784.json,1.0,on offshore drilling for energy,"energy,voting-record",mark-warner,U.S. Senator,Virginia,democrat,3.0,1.0,6.0,3.0,0.0,
1375.json,1.0,i havent missed a vote since 1993,history,chuck-grassley,U.S. senator,Iowa,republican,0.0,1.0,2.0,0.0,0.0,a conference call
9896.json,0.0,jorge elorza wants to impose a municipal income tax,"city-budget,deficit,economy,taxes",vincent-buddy-cianci,,Rhode Island,independent,0.0,2.0,1.0,2.0,1.0,a radio interview
3204.json,0.0,massachusetts public schools teach kids as young as kindergartners about gay marriage,"families,gays-and-lesbians,marriage,religion",national-organization-marriage,Nonprofit organization,Rhode Island,organization,0.0,1.0,0.0,0.0,1.0,a mailing to Rhode Island voters
8491.json,1.0,congress is bewildered at the scope and reach of our spying apparatus but in 2008 and 2012 explicitly rejected an amendment calling for more disclosure,"foreign-policy,pundits,terrorism",jon-stewart,,,none,0.0,2.0,1.0,1.0,1.0,"in comments on Comedy Central's ""The Daily Show"""
348.json,1.0,hillary clinton starts off with 47 percent of the country against her,elections,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a campaign rally in Alexandria, Va."
10141.json,0.0,saysrand paulhas put out budgets to cut the military in half,"federal-budget,military",adam-kinzinger,U.S. Representative,Illinois,republican,0.0,2.0,1.0,0.0,0.0,"comments on ABC's ""This Week"""
